Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Major anomalies of jaw size,fluid_overload,muscle_weakness,depression,foul_smell_ofurine,muscle_wasting,,,,,,,,,,,,
Unspecified corneal deposit,enlarged_thyroid,passage_of_gases,joint_pain,depression,redness_of_eyes,extra_marital_contacts,sweating,,,,,,,,,,
"Poisoning by anterior pituitary [adenohypophyseal] hormones, intentional self-harm",swelling_joints,increased_appetite,swollen_blood_vessels,anxiety,obesity,,,,,,,,,,,,
Other specified problems related to upbringing,swollen_legs,stomach_pain,fast_heart_rate,continuous_feel_of_urine,palpitations,painful_walking,receiving_blood_transfusion,,,,,,,,,,
"Toxic effect of venom of other snake, assault",polyuria,painful_walking,distention_of_abdomen,chest_pain,,,,,,,,,,,,,
Other specified dorsopathies,muscle_pain,indigestion,back_pain,increased_appetite,,,,,,,,,,,,,
"Laceration of muscle, fascia and tendon of pelvis",itching,sweating,watering_from_eyes,dischromic_patches,fast_heart_rate,,,,,,,,,,,,
"Maternal care for other specified fetal problems, second trimester",painful_walking,chest_pain,slurred_speech,lethargy,knee_pain,,,,,,,,,,,,
Problems related to social environment,continuous_sneezing,fast_heart_rate,swollen_blood_vessels,irritation_in_anus,,,,,,,,,,,,,
Pedal cycle driver injured in collision with other nonmotor vehicle in traffic accident,foul_smell_ofurine,itching,silver_like_dusting,bloody_stool,,,,,,,,,,,,,
Partial traumatic amputation at left hip joint,cough,distention_of_abdomen,stomach_pain,bloody_stool,breathlessness,,,,,,,,,,,,
Other disorders of branched-chain amino-acid metabolism,weakness_of_one_body_side,family_history,yellowish_skin,chest_pain,,,,,,,,,,,,,
Sprain of other specified parts of unspecified shoulder girdle,swelling_joints,cramps,abnormal_menstruation,weakness_in_limbs,irregular_sugar_level,drying_and_tingling_lips,,,,,,,,,,,
"Partial traumatic amputation of unspecified hip and thigh, level unspecified",irregular_sugar_level,ulcers_on_tongue,neck_pain,swelling_of_stomach,sweating,swelled_lymph_nodes,watering_from_eyes,,,,,,,,,,
"Neoplasm of uncertain behavior of female genital organ, unspecified",itching,red_spots_over_body,loss_of_appetite,high_fever,swelling_joints,fluid_overload,patches_in_throat,,,,,,,,,,
"Paralytic calcification and ossification of muscle, ankle and foot",patches_in_throat,belly_pain,stiff_neck,dark_urine,,,,,,,,,,,,,
Crushing injury of right lower leg,loss_of_smell,lack_of_concentration,silver_like_dusting,yellow_urine,dischromic_patches,swelled_lymph_nodes,restlessness,,,,,,,,,,
Laceration without foreign body of left elbow,fluid_overload,weight_loss,silver_like_dusting,inflammatory_nails,dizziness,,,,,,,,,,,,
Osteomyelofibrosis,skin_peeling,obesity,depression,loss_of_appetite,,,,,,,,,,,,,
Nondisplaced fracture of unspecified tibial tuberosity,chest_pain,small_dents_in_nails,high_fever,breathlessness,prominent_veins_on_calf,,,,,,,,,,,,
"Poisoning by antiallergic and antiemetic drugs, undetermined",muscle_wasting,swelling_joints,dehydration,fatigue,,,,,,,,,,,,,
Exposure to other rapid changes in air pressure during descent,abdominal_pain,weight_loss,altered_sensorium,passage_of_gases,irritation_in_anus,,,,,,,,,,,,
Frostbite with tissue necrosis of unspecified hip and thigh,irritation_in_anus,extra_marital_contacts,polyuria,dark_urine,swollen_legs,cramps,neck_pain,,,,,,,,,,
Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication,excessive_hunger,lack_of_concentration,distention_of_abdomen,cramps,muscle_pain,itching,puffy_face_and_eyes,,,,,,,,,,
Residual stage of open-angle glaucoma,chills,loss_of_balance,visual_disturbances,small_dents_in_nails,dark_urine,dischromic_patches,,,,,,,,,,,
Unspecified displaced fracture of fourth cervical vertebra,mild_fever,knee_pain,constipation,lack_of_concentration,,,,,,,,,,,,,
Other heart disorders in diseases classified elsewhere,abdominal_pain,weight_loss,coma,nodal_skin_eruptions,fast_heart_rate,loss_of_balance,pain_in_anal_region,,,,,,,,,,
"Other mechanical complication of other prosthetic devices, implants and grafts of genital tract",spotting_urination,knee_pain,pus_filled_pimples,dehydration,,,,,,,,,,,,,
"Other injury of flexor muscle, fascia and tendon of right ring finger at forearm level",high_fever,loss_of_balance,drying_and_tingling_lips,bruising,patches_in_throat,extra_marital_contacts,,,,,,,,,,,
"Hypertrophy of bone, ulna and radius",dark_urine,fast_heart_rate,stomach_bleeding,scurring,,,,,,,,,,,,,
"Arthropathies in other specified diseases classified elsewhere, knee",palpitations,shivering,scurring,fast_heart_rate,irregular_sugar_level,swelling_of_stomach,nodal_skin_eruptions,,,,,,,,,,
Open bite of unspecified back wall of thorax with penetration into thoracic cavity,knee_pain,swelling_of_stomach,muscle_pain,cold_hands_and_feets,phlegm,,,,,,,,,,,,
Azoospermia due to extratesticular causes,receiving_unsterile_injections,brittle_nails,phlegm,belly_pain,pain_in_anal_region,bruising,,,,,,,,,,,
Superficial foreign body of left forearm,restlessness,mild_fever,stomach_bleeding,stiff_neck,cough,visual_disturbances,polyuria,,,,,,,,,,
"Encounter for attention to dressings, sutures and drains",ulcers_on_tongue,dark_urine,sweating,history_of_alcohol_consumption,foul_smell_ofurine,joint_pain,visual_disturbances,,,,,,,,,,
"Disorder of amino-acid metabolism, unspecified",hip_joint_pain,cold_hands_and_feets,weakness_of_one_body_side,abnormal_menstruation,extra_marital_contacts,red_sore_around_nose,,,,,,,,,,,
Hematometra,brittle_nails,joint_pain,movement_stiffness,sunken_eyes,nausea,hip_joint_pain,vomiting,,,,,,,,,,
Dislocation of proximal interphalangeal joint of right ring finger,slurred_speech,loss_of_smell,pus_filled_pimples,continuous_feel_of_urine,stiff_neck,irregular_sugar_level,foul_smell_ofurine,,,,,,,,,,
Other stimulant abuse,cough,yellow_crust_ooze,unsteadiness,swelling_joints,stomach_pain,acute_liver_failure,,,,,,,,,,,
Hypertensive crisis,bruising,yellowing_of_eyes,yellow_crust_ooze,dark_urine,coma,blackheads,polyuria,,,,,,,,,,
Suppressed lactation,pain_during_bowel_movements,loss_of_smell,unsteadiness,sunken_eyes,increased_appetite,polyuria,,,,,,,,,,,
Adhesions due to foreign body accidentally left in body following removal of catheter or packing,silver_like_dusting,loss_of_appetite,brittle_nails,lack_of_concentration,,,,,,,,,,,,,
Unspecified fracture of right talus,stomach_pain,fluid_overload,red_spots_over_body,polyuria,headache,receiving_blood_transfusion,loss_of_smell,,,,,,,,,,
Posterior dislocation of unspecified hip,visual_disturbances,headache,excessive_hunger,painful_walking,obesity,cough,muscle_wasting,,,,,,,,,,
Passenger of special agricultural vehicle injured in traffic accident,mucoid_sputum,dischromic_patches,shivering,muscle_weakness,,,,,,,,,,,,,
Inhalant abuse,red_sore_around_nose,internal_itching,blood_in_sputum,blister,yellow_urine,weakness_in_limbs,,,,,,,,,,,
Other physeal fracture of upper end of left fibula,red_sore_around_nose,swelling_joints,swelled_lymph_nodes,runny_nose,,,,,,,,,,,,,
Dislocation of unspecified thoracic vertebra,obesity,throat_irritation,hip_joint_pain,blister,painful_walking,sweating,cough,,,,,,,,,,
Person on outside of special industrial vehicle injured in nontraffic accident,continuous_sneezing,swelling_joints,toxic_look_(typhos),runny_nose,lethargy,neck_pain,,,,,,,,,,,
Complete traumatic amputation at unspecified shoulder joint,extra_marital_contacts,painful_walking,swelling_joints,joint_pain,,,,,,,,,,,,,
Occupant of railway train or railway vehicle injured in derailment without antecedent collision,visual_disturbances,back_pain,constipation,yellow_urine,bruising,,,,,,,,,,,,
Subluxation of interphalangeal joint of unspecified great toe,swollen_blood_vessels,neck_pain,acidity,slurred_speech,pain_during_bowel_movements,,,,,,,,,,,,
Retained (old) magnetic foreign body in lens,yellowish_skin,altered_sensorium,shivering,nodal_skin_eruptions,palpitations,extra_marital_contacts,blackheads,,,,,,,,,,
Pneumothorax and air leak,pus_filled_pimples,swelled_lymph_nodes,fluid_overload,toxic_look_(typhos),joint_pain,,,,,,,,,,,,
"Hydroxyapatite deposition disease, hip",nodal_skin_eruptions,spinning_movements,dizziness,small_dents_in_nails,dischromic_patches,joint_pain,puffy_face_and_eyes,,,,,,,,,,
"Unspecified injury of muscle, fascia and tendon of other parts of biceps, right arm",muscle_pain,silver_like_dusting,belly_pain,small_dents_in_nails,painful_walking,visual_disturbances,irregular_sugar_level,,,,,,,,,,
"Puncture wound of abdominal wall without foreign body, epigastric region without penetration into peritoneal cavity",swollen_extremeties,family_history,joint_pain,coma,,,,,,,,,,,,,
Other fracture of left talus,dehydration,polyuria,runny_nose,mucoid_sputum,excessive_hunger,mood_swings,cough,,,,,,,,,,
Drowning and submersion due to being thrown overboard by motion of passenger ship,joint_pain,weakness_of_one_body_side,mucoid_sputum,receiving_blood_transfusion,,,,,,,,,,,,,
"Minor laceration of greater saphenous vein at hip and thigh level, right leg",sinus_pressure,swollen_legs,pain_during_bowel_movements,red_spots_over_body,,,,,,,,,,,,,
Asphyxia and hypoxemia,passage_of_gases,indigestion,fatigue,lethargy,blackheads,cold_hands_and_feets,,,,,,,,,,,
"Unspecified injury of vein at forearm level, unspecified arm",rusty_sputum,patches_in_throat,yellowish_skin,dark_urine,throat_irritation,sinus_pressure,,,,,,,,,,,
"Joint derangement, unspecified",loss_of_smell,cramps,passage_of_gases,irregular_sugar_level,,,,,,,,,,,,,
Presence of artificial knee joint,chest_pain,swollen_legs,dehydration,breathlessness,,,,,,,,,,,,,
Acute (reversible) ischemia of small intestine,malaise,irritability,cough,irregular_sugar_level,sunken_eyes,polyuria,,,,,,,,,,,
Dislocation of unspecified cervical vertebrae,dehydration,swelled_lymph_nodes,palpitations,painful_walking,chest_pain,blood_in_sputum,,,,,,,,,,,
"Asphyxiation due to smothering under pillow, intentional self-harm",swollen_extremeties,shivering,scurring,lack_of_concentration,,,,,,,,,,,,,
Other extrapyramidal and movement disorders,vomiting,watering_from_eyes,painful_walking,runny_nose,stiff_neck,swollen_extremeties,joint_pain,,,,,,,,,,
Laceration of dorsal artery of unspecified foot,back_pain,red_sore_around_nose,swollen_legs,stomach_pain,prominent_veins_on_calf,,,,,,,,,,,,
Neonatal jaundice from breast milk inhibitor,sweating,lethargy,pain_in_anal_region,prominent_veins_on_calf,puffy_face_and_eyes,skin_peeling,,,,,,,,,,,
"Military operations involving direct blast effect of nuclear weapon, civilian",internal_itching,toxic_look_(typhos),weakness_of_one_body_side,breathlessness,yellowing_of_eyes,cold_hands_and_feets,,,,,,,,,,,
Fracture of unspecified phalanx of right thumb,weight_gain,small_dents_in_nails,mucoid_sputum,movement_stiffness,,,,,,,,,,,,,
Displaced unspecified fracture of left great toe,belly_pain,sunken_eyes,ulcers_on_tongue,redness_of_eyes,blood_in_sputum,muscle_weakness,visual_disturbances,,,,,,,,,,
Chondromalacia patellae,yellow_crust_ooze,stomach_bleeding,skin_rash,extra_marital_contacts,painful_walking,chest_pain,,,,,,,,,,,
Salter-Harris Type IV physeal fracture of upper end of right tibia,pain_during_bowel_movements,fast_heart_rate,stomach_bleeding,breathlessness,internal_itching,dizziness,,,,,,,,,,,
Atherosclerosis of native coronary artery of transplanted heart with angina pectoris,pus_filled_pimples,itching,anxiety,congestion,blood_in_sputum,irritation_in_anus,,,,,,,,,,,
Obturator dislocation of unspecified hip,redness_of_eyes,coma,extra_marital_contacts,swollen_legs,increased_appetite,,,,,,,,,,,,
Hematoma of broad ligament,malaise,movement_stiffness,abnormal_menstruation,headache,polyuria,,,,,,,,,,,,
"Toxic effect of hydrogen sulfide, intentional self-harm",dizziness,headache,chest_pain,palpitations,prognosis,receiving_blood_transfusion,muscle_wasting,,,,,,,,,,
Other forms of scoliosis,neck_pain,blackheads,bruising,cough,receiving_unsterile_injections,high_fever,malaise,,,,,,,,,,
"Osteopathy after poliomyelitis, ankle and foot",altered_sensorium,blister,swollen_extremeties,lack_of_concentration,swollen_legs,pain_in_anal_region,,,,,,,,,,,
Laceration without foreign body of left breast,fatigue,history_of_alcohol_consumption,continuous_feel_of_urine,slurred_speech,weight_loss,cough,blister,,,,,,,,,,
Passenger injured in collision with unspecified motor vehicles in traffic accident,silver_like_dusting,watering_from_eyes,pus_filled_pimples,mucoid_sputum,inflammatory_nails,continuous_sneezing,patches_in_throat,,,,,,,,,,
"Hypertrophy of bone, ankle and foot",blackheads,indigestion,stomach_pain,sinus_pressure,mucoid_sputum,malaise,spinning_movements,,,,,,,,,,
Frostbite with tissue necrosis of left hip and thigh,passage_of_gases,swelling_of_stomach,skin_peeling,coma,stomach_bleeding,weakness_of_one_body_side,muscle_wasting,,,,,,,,,,
"Toxic effect of cyanides, intentional self-harm",fatigue,anxiety,extra_marital_contacts,constipation,,,,,,,,,,,,,
Corrosion of unspecified degree of multiple sites of left ankle and foot,receiving_unsterile_injections,small_dents_in_nails,high_fever,acute_liver_failure,,,,,,,,,,,,,
Unspecified pedal cyclist injured in collision with other motor vehicles in traffic accident,loss_of_balance,pain_during_bowel_movements,restlessness,foul_smell_ofurine,,,,,,,,,,,,,
"Hallucinogen use, unspecified with other specified hallucinogen-induced disorder",fast_heart_rate,sinus_pressure,loss_of_appetite,coma,,,,,,,,,,,,,
Encounter for childbirth instruction,movement_stiffness,fluid_overload,prognosis,abnormal_menstruation,,,,,,,,,,,,,
Other intellectual disabilities,skin_rash,muscle_wasting,neck_pain,bladder_discomfort,family_history,runny_nose,continuous_sneezing,,,,,,,,,,
Laceration without foreign body of left lesser toe(s) with damage to nail,red_spots_over_body,loss_of_smell,nodal_skin_eruptions,phlegm,painful_walking,neck_pain,scurring,,,,,,,,,,
Adverse effect of angiotensin-converting-enzyme inhibitors,internal_itching,stomach_bleeding,anxiety,obesity,irritation_in_anus,dehydration,blood_in_sputum,,,,,,,,,,
"Other adverse effects, not elsewhere classified",burning_micturition,headache,swollen_blood_vessels,chest_pain,phlegm,weakness_in_limbs,swelling_joints,,,,,,,,,,
Genetic susceptibility to malignant neoplasm,joint_pain,obesity,indigestion,red_sore_around_nose,stomach_bleeding,malaise,acidity,,,,,,,,,,
Observation and evaluation of newborn for other specified suspected condition ruled out,irritability,ulcers_on_tongue,silver_like_dusting,patches_in_throat,lethargy,inflammatory_nails,yellowish_skin,,,,,,,,,,
Breakdown (mechanical) of surgically created arteriovenous shunt,knee_pain,headache,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,
Other specified injuries of unspecified ankle,bladder_discomfort,spotting_urination,muscle_pain,mood_swings,,,,,,,,,,,,,
"Other specified rheumatoid arthritis, hand",mild_fever,visual_disturbances,prominent_veins_on_calf,redness_of_eyes,,,,,,,,,,,,,
Imperforate hymen,blackheads,mucoid_sputum,fast_heart_rate,painful_walking,,,,,,,,,,,,,
"Pathological fracture, unspecified shoulder",bladder_discomfort,foul_smell_ofurine,coma,irregular_sugar_level,blister,cough,,,,,,,,,,,
Acute posthemorrhagic anemia,puffy_face_and_eyes,bladder_discomfort,inflammatory_nails,foul_smell_ofurine,receiving_unsterile_injections,blurred_and_distorted_vision,,,,,,,,,,,
Passenger in pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident,prominent_veins_on_calf,watering_from_eyes,sunken_eyes,phlegm,inflammatory_nails,sinus_pressure,ulcers_on_tongue,,,,,,,,,,
Other sprain of unspecified thumb,joint_pain,weakness_in_limbs,mood_swings,weight_gain,ulcers_on_tongue,swelling_of_stomach,polyuria,,,,,,,,,,
Epidural hemorrhage without loss of consciousness,vomiting,acute_liver_failure,cramps,throat_irritation,weight_gain,bloody_stool,swollen_blood_vessels,,,,,,,,,,
"Toxic effect of unspecified noxious substance eaten as food, intentional self-harm",pain_behind_the_eyes,belly_pain,skin_rash,pain_during_bowel_movements,,,,,,,,,,,,,
Primary angle closure without glaucoma damage,yellow_crust_ooze,weight_gain,rusty_sputum,muscle_weakness,ulcers_on_tongue,,,,,,,,,,,,
Nondisplaced fracture of shaft of unspecified clavicle,extra_marital_contacts,acute_liver_failure,muscle_wasting,dark_urine,,,,,,,,,,,,,
Major contusion of spleen,family_history,puffy_face_and_eyes,inflammatory_nails,dizziness,lethargy,dark_urine,history_of_alcohol_consumption,,,,,,,,,,
"Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere",hip_joint_pain,loss_of_balance,weight_gain,history_of_alcohol_consumption,belly_pain,,,,,,,,,,,,
Nondisplaced transverse fracture of shaft of right femur,palpitations,shivering,irregular_sugar_level,chest_pain,,,,,,,,,,,,,
Nondisplaced fracture of lateral condyle of left tibia,pain_behind_the_eyes,blackheads,prognosis,brittle_nails,puffy_face_and_eyes,,,,,,,,,,,,
Atherosclerosis of other arteries,spinning_movements,weight_gain,stiff_neck,pain_in_anal_region,swollen_extremeties,burning_micturition,,,,,,,,,,,
Family history of other specific disorders,redness_of_eyes,loss_of_appetite,enlarged_thyroid,receiving_unsterile_injections,stiff_neck,bruising,coma,,,,,,,,,,
Unspecified fracture of unspecified forearm,watering_from_eyes,blackheads,continuous_feel_of_urine,receiving_blood_transfusion,skin_rash,anxiety,,,,,,,,,,,
Q fever,enlarged_thyroid,family_history,irritability,brittle_nails,runny_nose,drying_and_tingling_lips,,,,,,,,,,,
"Other cervical disc degeneration, mid-cervical region",altered_sensorium,inflammatory_nails,increased_appetite,lack_of_concentration,,,,,,,,,,,,,
"Other soft tissue disorders related to use, overuse and pressure of shoulder",mild_fever,swelling_of_stomach,muscle_wasting,irritation_in_anus,loss_of_smell,cough,,,,,,,,,,,
"Laceration of other specified muscles, fascia and tendons at wrist and hand level, right hand",sweating,constipation,stomach_bleeding,chills,diarrhoea,cramps,slurred_speech,,,,,,,,,,
"Sprain of jaw, right side",blackheads,toxic_look_(typhos),painful_walking,chills,,,,,,,,,,,,,
"Malignant neoplasm of testis, unspecified whether descended or undescended",chills,dark_urine,swollen_blood_vessels,spinning_movements,throat_irritation,acidity,,,,,,,,,,,
Abnormal results of pulmonary function studies,stiff_neck,loss_of_smell,knee_pain,congestion,vomiting,,,,,,,,,,,,
Deficiency of other nutrient elements,abdominal_pain,muscle_pain,redness_of_eyes,weight_gain,spotting_urination,yellow_urine,runny_nose,,,,,,,,,,
Corneal ectasia,red_spots_over_body,anxiety,scurring,dehydration,rusty_sputum,,,,,,,,,,,,
Nondisplaced fracture of base of unspecified metacarpal bone,cold_hands_and_feets,swelling_of_stomach,hip_joint_pain,family_history,prominent_veins_on_calf,acidity,altered_sensorium,,,,,,,,,,
"Unspecified injury of flexor muscle, fascia and tendon of left ring finger at forearm level",mucoid_sputum,excessive_hunger,inflammatory_nails,abnormal_menstruation,patches_in_throat,muscle_weakness,dehydration,,,,,,,,,,
"Unspecified injury of superficial vein at shoulder and upper arm level, unspecified arm",ulcers_on_tongue,bladder_discomfort,watering_from_eyes,redness_of_eyes,swollen_legs,,,,,,,,,,,,
Person on outside of car injured in collision with van in nontraffic accident,irritability,visual_disturbances,spotting_urination,continuous_sneezing,,,,,,,,,,,,,
Other diseases of pulmonary vessels,dischromic_patches,continuous_feel_of_urine,foul_smell_ofurine,cough,pus_filled_pimples,hip_joint_pain,,,,,,,,,,,
Other myositis,blurred_and_distorted_vision,neck_pain,abnormal_menstruation,burning_micturition,skin_peeling,,,,,,,,,,,,
"Corrosion of second degree of unspecified multiple fingers (nail), including thumb",polyuria,internal_itching,dehydration,chills,enlarged_thyroid,movement_stiffness,,,,,,,,,,,
"Injury of unspecified nerve at lower leg level, left leg",silver_like_dusting,diarrhoea,swelling_joints,indigestion,muscle_wasting,continuous_feel_of_urine,enlarged_thyroid,,,,,,,,,,
Driver of three-wheeled motor vehicle injured in collision with pedestrian or animal in nontraffic accident,sunken_eyes,cramps,enlarged_thyroid,unsteadiness,loss_of_balance,shivering,,,,,,,,,,,
Displaced fracture of right tibial tuberosity,lack_of_concentration,lethargy,toxic_look_(typhos),breathlessness,diarrhoea,swollen_legs,weight_gain,,,,,,,,,,
Contusion of left ring finger with damage to nail,dizziness,chills,phlegm,prognosis,,,,,,,,,,,,,
Laceration without foreign body of left middle finger with damage to nail,rusty_sputum,blood_in_sputum,cough,belly_pain,burning_micturition,cramps,,,,,,,,,,,
Other superficial bite of unspecified forearm,patches_in_throat,abnormal_menstruation,malaise,irritability,,,,,,,,,,,,,
Pulmonary hemorrhage originating in the perinatal period,fatigue,family_history,sunken_eyes,fluid_overload,,,,,,,,,,,,,
"Pathological fracture in other disease, left femur",increased_appetite,acute_liver_failure,lack_of_concentration,joint_pain,dark_urine,swelling_joints,irritation_in_anus,,,,,,,,,,
Adverse effect of other nonsteroidal anti-inflammatory drugs [NSAID],shivering,fluid_overload,prognosis,chest_pain,spinning_movements,,,,,,,,,,,,
"Pathological fracture in neoplastic disease, right tibia",knee_pain,mild_fever,acute_liver_failure,redness_of_eyes,headache,sweating,painful_walking,,,,,,,,,,
"Other specified joint disorders, knee",runny_nose,dizziness,nodal_skin_eruptions,redness_of_eyes,fatigue,receiving_unsterile_injections,,,,,,,,,,,
"Other chondrocalcinosis, ankle and foot",hip_joint_pain,fast_heart_rate,shivering,abdominal_pain,skin_rash,,,,,,,,,,,,
Burn of first degree of multiple sites of right ankle and foot,mood_swings,neck_pain,skin_rash,weakness_of_one_body_side,coma,joint_pain,,,,,,,,,,,
"Other ossification of muscle, lower leg",dischromic_patches,silver_like_dusting,itching,skin_rash,puffy_face_and_eyes,,,,,,,,,,,,
"Poisoning by antitussives, undetermined",depression,knee_pain,extra_marital_contacts,runny_nose,,,,,,,,,,,,,
"Streptococcus, Staphylococcus, and Enterococcus as the cause of diseases classified elsewhere",pain_in_anal_region,receiving_blood_transfusion,back_pain,watering_from_eyes,,,,,,,,,,,,,
Adverse effect of other opioids,pus_filled_pimples,phlegm,headache,prominent_veins_on_calf,unsteadiness,acute_liver_failure,mood_swings,,,,,,,,,,
Retained (old) magnetic foreign body in iris or ciliary body,weakness_in_limbs,nodal_skin_eruptions,yellowing_of_eyes,obesity,acute_liver_failure,unsteadiness,,,,,,,,,,,
"Melanoma in situ of eyelid, including canthus",red_spots_over_body,yellowing_of_eyes,passage_of_gases,blood_in_sputum,,,,,,,,,,,,,
Dislocation of distal interphalangeal joint of unspecified finger,pus_filled_pimples,runny_nose,sinus_pressure,ulcers_on_tongue,dischromic_patches,diarrhoea,dark_urine,,,,,,,,,,
Personal history of malignant neoplasm of bone and soft tissue,prominent_veins_on_calf,chills,stiff_neck,puffy_face_and_eyes,headache,,,,,,,,,,,,
Congenital pes planus,altered_sensorium,prognosis,muscle_wasting,redness_of_eyes,dehydration,depression,stomach_bleeding,,,,,,,,,,
Other psoriasis,passage_of_gases,cramps,bladder_discomfort,acute_liver_failure,,,,,,,,,,,,,
"Injury of oculomotor nerve, left side",obesity,inflammatory_nails,weight_loss,nodal_skin_eruptions,prominent_veins_on_calf,,,,,,,,,,,,
Insect bite (nonvenomous) of unspecified elbow,itching,irritability,rusty_sputum,sweating,prognosis,loss_of_smell,receiving_unsterile_injections,,,,,,,,,,
School (private) (public) (state) as the place of occurrence of the external cause,sinus_pressure,lethargy,weight_loss,itching,,,,,,,,,,,,,
"Osteopathy in diseases classified elsewhere, hand",excessive_hunger,irregular_sugar_level,painful_walking,irritation_in_anus,blood_in_sputum,,,,,,,,,,,,
Abrasion of left shoulder,breathlessness,yellow_urine,red_spots_over_body,congestion,bladder_discomfort,blister,,,,,,,,,,,
Drowning and submersion due to falling or jumping from burning passenger ship,belly_pain,runny_nose,yellowing_of_eyes,fast_heart_rate,,,,,,,,,,,,,
Passenger in pick-up truck or van injured in collision with pedestrian or animal in traffic accident,toxic_look_(typhos),cold_hands_and_feets,continuous_feel_of_urine,pain_behind_the_eyes,passage_of_gases,,,,,,,,,,,,
"Bacterial meningitis, not elsewhere classified",irritability,prominent_veins_on_calf,nodal_skin_eruptions,skin_rash,mucoid_sputum,history_of_alcohol_consumption,sinus_pressure,,,,,,,,,,
Dislocation of T9/T10 thoracic vertebra,weight_gain,drying_and_tingling_lips,dischromic_patches,hip_joint_pain,pain_during_bowel_movements,cough,prognosis,,,,,,,,,,
"Complete traumatic amputation of left hip and thigh, level unspecified",acute_liver_failure,blackheads,skin_rash,blister,high_fever,,,,,,,,,,,,
"Other injury of flexor muscle, fascia and tendon of left thumb at forearm level",swollen_blood_vessels,depression,receiving_unsterile_injections,breathlessness,,,,,,,,,,,,,
Choroidal rupture,constipation,stomach_bleeding,unsteadiness,bruising,yellowing_of_eyes,yellowish_skin,,,,,,,,,,,
"Displaced spiral fracture of shaft of radius, unspecified arm",headache,sweating,malaise,small_dents_in_nails,cramps,,,,,,,,,,,,
Cystocele,weakness_in_limbs,coma,cramps,dischromic_patches,anxiety,cold_hands_and_feets,,,,,,,,,,,
"Laceration of muscle, fascia and tendon of long head of biceps, right arm",internal_itching,passage_of_gases,back_pain,stiff_neck,neck_pain,red_sore_around_nose,blood_in_sputum,,,,,,,,,,
"Infection of amniotic sac and membranes, unspecified, unspecified trimester",dischromic_patches,skin_peeling,back_pain,chills,excessive_hunger,,,,,,,,,,,,
Persistent fetal circulation,loss_of_smell,brittle_nails,enlarged_thyroid,runny_nose,swollen_legs,belly_pain,stiff_neck,,,,,,,,,,
Pulmonary edema,constipation,nausea,prominent_veins_on_calf,lethargy,yellowing_of_eyes,bloody_stool,polyuria,,,,,,,,,,
Corrosion of first degree of left ankle,red_spots_over_body,irritability,polyuria,restlessness,skin_rash,blackheads,yellowing_of_eyes,,,,,,,,,,
Peripheral opacity of cornea,toxic_look_(typhos),irritability,dizziness,mood_swings,muscle_wasting,,,,,,,,,,,,
Contusion of unspecified little finger with damage to nail,acute_liver_failure,prognosis,extra_marital_contacts,history_of_alcohol_consumption,fatigue,knee_pain,back_pain,,,,,,,,,,
Other specified botulism,blister,nodal_skin_eruptions,continuous_sneezing,pus_filled_pimples,distention_of_abdomen,,,,,,,,,,,,
"Osteonecrosis in diseases classified elsewhere, multiple sites",yellowing_of_eyes,history_of_alcohol_consumption,depression,irritability,,,,,,,,,,,,,
Acute angle-closure glaucoma,extra_marital_contacts,toxic_look_(typhos),red_spots_over_body,swelled_lymph_nodes,belly_pain,,,,,,,,,,,,
Pannus (corneal),ulcers_on_tongue,headache,visual_disturbances,stiff_neck,neck_pain,,,,,,,,,,,,
"Caught, crushed, jammed, or pinched between moving objects",family_history,burning_micturition,irritation_in_anus,abnormal_menstruation,,,,,,,,,,,,,
Unspecified fracture of shaft of left femur,swollen_blood_vessels,continuous_sneezing,visual_disturbances,diarrhoea,,,,,,,,,,,,,
"Other specified disorders of amniotic fluid and membranes, first trimester",rusty_sputum,brittle_nails,palpitations,abdominal_pain,,,,,,,,,,,,,
Unspecified injury of left thigh,swelling_joints,lethargy,neck_pain,bladder_discomfort,malaise,constipation,extra_marital_contacts,,,,,,,,,,
Other mature T/NK-cell lymphomas,inflammatory_nails,brittle_nails,dark_urine,prognosis,,,,,,,,,,,,,
Cerebral infarction due to thrombosis of middle cerebral artery,swollen_blood_vessels,joint_pain,swollen_extremeties,rusty_sputum,slurred_speech,,,,,,,,,,,,
"Injury of sciatic nerve at hip and thigh level, right leg",lack_of_concentration,headache,dark_urine,scurring,movement_stiffness,,,,,,,,,,,,
"Other disorders of bone development and growth, ulna and radius",weakness_of_one_body_side,swelling_of_stomach,swelled_lymph_nodes,irregular_sugar_level,fatigue,receiving_unsterile_injections,drying_and_tingling_lips,,,,,,,,,,
"Myositis ossificans traumatica, shoulder",constipation,lethargy,enlarged_thyroid,foul_smell_ofurine,internal_itching,,,,,,,,,,,,
"Other secondary chronic gout, right wrist",bladder_discomfort,congestion,muscle_pain,yellowish_skin,,,,,,,,,,,,,
Gastro-esophageal laceration-hemorrhage syndrome,altered_sensorium,lethargy,sinus_pressure,blurred_and_distorted_vision,neck_pain,depression,,,,,,,,,,,
