Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Crystalline deposits in vitreous body,Maintain hygiene,Drink plenty of water,Avoid oily food,Take medicines on time
Other and unspecified corneal deformities,Get adequate rest,Drink plenty of water,Take medicines on time,Monitor vitals regularly
"Adult neglect or abandonment, suspected",Get adequate rest,Maintain hygiene,Drink plenty of water,Avoid oily food
"Other specified injury of left quadriceps muscle, fascia and tendon",Monitor vitals regularly,Take medicines on time,Drink plenty of water,Maintain hygiene
Laceration of other blood vessels at wrist and hand level of left arm,Exercise lightly,Avoid oily food,Drink plenty of water,Maintain hygiene
Other specified strabismus,Avoid oily food,Get adequate rest,Monitor vitals regularly,Take medicines on time
"Paralytic calcification and ossification of muscle, upper arm",Maintain hygiene,Take medicines on time,Drink plenty of water,Avoid oily food
"Unspecified injury of intrinsic muscle, fascia and tendon of right thumb at wrist and hand level",Get adequate rest,Drink plenty of water,Take medicines on time,Monitor vitals regularly
Underdosing of unspecified antiepileptic and sedative-hypnotic drugs,Monitor vitals regularly,Get adequate rest,Avoid oily food,Maintain hygiene
"Peripheral tear of lateral meniscus, current injury, left knee",Maintain hygiene,Get adequate rest,Exercise lightly,Drink plenty of water
"Bipolar disorder, current episode mixed",Monitor vitals regularly,Take medicines on time,Avoid oily food,Drink plenty of water
Laceration without foreign body of left buttock,Drink plenty of water,Monitor vitals regularly,Exercise lightly,Maintain hygiene
"Person boarding or alighting a heavy transport vehicle injured in collision with car, pick-up truck or van",Avoid oily food,Drink plenty of water,Get adequate rest,Monitor vitals regularly
"Salter-Harris Type I physeal fracture of upper end of radius, left arm",Exercise lightly,Avoid oily food,Take medicines on time,Get adequate rest
Unspecified subluxation of left foot,Monitor vitals regularly,Exercise lightly,Drink plenty of water,Take medicines on time
"Laceration without foreign body, unspecified hip",Take medicines on time,Exercise lightly,Get adequate rest,Drink plenty of water
Acute myeloid leukemia with multilineage dysplasia,Take medicines on time,Exercise lightly,Monitor vitals regularly,Maintain hygiene
Corrosion of first degree of left thumb (nail),Drink plenty of water,Maintain hygiene,Avoid oily food,Monitor vitals regularly
Unspecified injury of neck,Take medicines on time,Drink plenty of water,Maintain hygiene,Monitor vitals regularly
Other mechanical complication of balloon (counterpulsation) device,Monitor vitals regularly,Maintain hygiene,Take medicines on time,Drink plenty of water
Other congenital malformations of penis,Take medicines on time,Drink plenty of water,Avoid oily food,Monitor vitals regularly
"Paratyphoid fever, unspecified",Drink plenty of water,Monitor vitals regularly,Exercise lightly,Maintain hygiene
Supervision of young primigravida,Take medicines on time,Monitor vitals regularly,Avoid oily food,Drink plenty of water
Amniotic fluid embolism in childbirth,Take medicines on time,Get adequate rest,Maintain hygiene,Exercise lightly
Unspecified pedal cyclist injured in collision with pedestrian or animal in nontraffic accident,Take medicines on time,Drink plenty of water,Avoid oily food,Get adequate rest
"Puncture wound of abdominal wall without foreign body, periumbilic region without penetration into peritoneal cavity",Exercise lightly,Avoid oily food,Drink plenty of water,Take medicines on time
Contusion of bladder,Take medicines on time,Get adequate rest,Avoid oily food,Exercise lightly
Crushed between fishing boat and other watercraft or other object due to collision,Get adequate rest,Take medicines on time,Monitor vitals regularly,Avoid oily food
"Lead-induced chronic gout, left wrist",Avoid oily food,Maintain hygiene,Exercise lightly,Take medicines on time
Sanfilippo mucopolysaccharidoses,Exercise lightly,Maintain hygiene,Get adequate rest,Avoid oily food
Minor contusion of spleen,Drink plenty of water,Take medicines on time,Avoid oily food,Maintain hygiene
"Fibrous dysplasia (monostotic), lower leg",Get adequate rest,Avoid oily food,Take medicines on time,Exercise lightly
Corrosion of first degree of right upper arm,Exercise lightly,Take medicines on time,Avoid oily food,Get adequate rest
"Burn of first degree of multiple sites of left lower limb, except ankle and foot",Monitor vitals regularly,Avoid oily food,Drink plenty of water,Maintain hygiene
"Poisoning by other general anesthetics, undetermined",Avoid oily food,Get adequate rest,Take medicines on time,Maintain hygiene
Ganglion,Maintain hygiene,Get adequate rest,Avoid oily food,Monitor vitals regularly
"Joint disorder, unspecified",Get adequate rest,Monitor vitals regularly,Take medicines on time,Maintain hygiene
Abnormal results of function studies of other organs and systems,Avoid oily food,Take medicines on time,Monitor vitals regularly,Maintain hygiene
"Other specified joint disorders, hand",Get adequate rest,Drink plenty of water,Avoid oily food,Take medicines on time
Problems related to medical facilities and other health care,Take medicines on time,Avoid oily food,Exercise lightly,Monitor vitals regularly
"Maternal care for known or suspected placental insufficiency, second trimester",Monitor vitals regularly,Exercise lightly,Maintain hygiene,Drink plenty of water
Corrosion of third degree of right elbow,Monitor vitals regularly,Avoid oily food,Maintain hygiene,Take medicines on time
Complete traumatic amputation of unspecified midfoot,Avoid oily food,Drink plenty of water,Exercise lightly,Monitor vitals regularly
"Dissociative and conversion disorder, unspecified",Drink plenty of water,Avoid oily food,Monitor vitals regularly,Take medicines on time
Nondisplaced Zone II fracture of sacrum,Drink plenty of water,Maintain hygiene,Monitor vitals regularly,Take medicines on time
Other specified injuries of lower back,Get adequate rest,Monitor vitals regularly,Drink plenty of water,Exercise lightly
Unspecified injury of pleura,Maintain hygiene,Take medicines on time,Get adequate rest,Monitor vitals regularly
"Other specified disorders of bone density and structure, upper arm",Exercise lightly,Maintain hygiene,Avoid oily food,Take medicines on time
Other dislocation of unspecified radial head,Maintain hygiene,Avoid oily food,Take medicines on time,Drink plenty of water
Other spondylosis,Take medicines on time,Maintain hygiene,Monitor vitals regularly,Drink plenty of water
Secondary parkinsonism due to other external agents,Maintain hygiene,Monitor vitals regularly,Drink plenty of water,Exercise lightly
Traumatic rupture of lumbar intervertebral disc,Get adequate rest,Exercise lightly,Drink plenty of water,Take medicines on time
Obstruction due to foreign body accidentally left in body following endoscopic examination,Exercise lightly,Monitor vitals regularly,Maintain hygiene,Avoid oily food
Alcohol dependence with other alcohol-induced disorders,Take medicines on time,Monitor vitals regularly,Exercise lightly,Avoid oily food
"Puncture wound with foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity",Maintain hygiene,Get adequate rest,Exercise lightly,Drink plenty of water
"Strain of intrinsic muscle, fascia and tendon of left ring finger at wrist and hand level",Drink plenty of water,Maintain hygiene,Monitor vitals regularly,Exercise lightly
Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,Monitor vitals regularly,Maintain hygiene,Exercise lightly,Get adequate rest
"Poisoning by enzymes, undetermined",Take medicines on time,Maintain hygiene,Avoid oily food,Monitor vitals regularly
"Poisoning by vitamins, undetermined",Drink plenty of water,Get adequate rest,Exercise lightly,Monitor vitals regularly
Pseudocoxalgia,Exercise lightly,Maintain hygiene,Avoid oily food,Monitor vitals regularly
"Unspecified soft tissue disorder related to use, overuse and pressure of shoulder",Monitor vitals regularly,Take medicines on time,Get adequate rest,Drink plenty of water
"Injury of optic nerve, right eye",Monitor vitals regularly,Get adequate rest,Take medicines on time,Maintain hygiene
Corrosion of second degree of right palm,Maintain hygiene,Avoid oily food,Get adequate rest,Drink plenty of water
Foreign body in uterus,Maintain hygiene,Avoid oily food,Monitor vitals regularly,Take medicines on time
Insect bite (nonvenomous) of unspecified ear,Maintain hygiene,Exercise lightly,Avoid oily food,Monitor vitals regularly
"Early congenital syphilis, latent",Get adequate rest,Drink plenty of water,Avoid oily food,Exercise lightly
Yellow fever,Take medicines on time,Maintain hygiene,Exercise lightly,Monitor vitals regularly
Forced landing of balloon injuring occupant,Exercise lightly,Take medicines on time,Get adequate rest,Monitor vitals regularly
Estrogen receptor status,Drink plenty of water,Monitor vitals regularly,Exercise lightly,Maintain hygiene
"Toxic effect of smoke, undetermined",Exercise lightly,Get adequate rest,Drink plenty of water,Avoid oily food
Other specified phobia,Avoid oily food,Exercise lightly,Get adequate rest,Monitor vitals regularly
Other specified injury of left innominate or subclavian artery,Drink plenty of water,Exercise lightly,Get adequate rest,Avoid oily food
Corrosion of second degree of left axilla,Maintain hygiene,Get adequate rest,Drink plenty of water,Take medicines on time
Motorcycle rider (driver) (passenger) injured in unspecified traffic accident,Monitor vitals regularly,Take medicines on time,Exercise lightly,Avoid oily food
Traumatic compartment syndrome of other sites,Avoid oily food,Monitor vitals regularly,Drink plenty of water,Take medicines on time
Major laceration of inferior vena cava,Monitor vitals regularly,Drink plenty of water,Get adequate rest,Avoid oily food
Periprosthetic fracture around unspecified internal prosthetic joint,Take medicines on time,Maintain hygiene,Get adequate rest,Exercise lightly
Sialoadenitis,Exercise lightly,Monitor vitals regularly,Maintain hygiene,Get adequate rest
Puncture wound with foreign body of unspecified part of neck,Avoid oily food,Drink plenty of water,Maintain hygiene,Take medicines on time
Insect bite (nonvenomous) of left little finger,Exercise lightly,Get adequate rest,Maintain hygiene,Take medicines on time
Underdosing of other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics,Monitor vitals regularly,Take medicines on time,Avoid oily food,Exercise lightly
Merkel cell carcinoma of trunk,Exercise lightly,Maintain hygiene,Monitor vitals regularly,Avoid oily food
"Nondisplaced comminuted fracture of shaft of ulna, unspecified arm",Maintain hygiene,Monitor vitals regularly,Exercise lightly,Drink plenty of water
Unilateral primary osteoarthritis of hip,Maintain hygiene,Take medicines on time,Exercise lightly,Get adequate rest
Superficial foreign body of right hand,Maintain hygiene,Monitor vitals regularly,Take medicines on time,Get adequate rest
Other retinoschisis and retinal cysts,Exercise lightly,Take medicines on time,Maintain hygiene,Drink plenty of water
Contact with and (suspected) exposure to intestinal infectious diseases,Avoid oily food,Get adequate rest,Monitor vitals regularly,Drink plenty of water
"Sprain of jaw, unspecified side",Avoid oily food,Maintain hygiene,Exercise lightly,Drink plenty of water
Unspecified fracture of unspecified toe(s),Take medicines on time,Avoid oily food,Exercise lightly,Drink plenty of water
Fever of other and unknown origin,Get adequate rest,Exercise lightly,Monitor vitals regularly,Drink plenty of water
Folds and rupture in Bowman's membrane,Get adequate rest,Drink plenty of water,Take medicines on time,Monitor vitals regularly
Unspecified superficial injury of right great toe,Monitor vitals regularly,Maintain hygiene,Exercise lightly,Take medicines on time
Unspecified fracture of sternum,Avoid oily food,Exercise lightly,Take medicines on time,Drink plenty of water
Fracture of condylar process of left mandible,Drink plenty of water,Monitor vitals regularly,Get adequate rest,Exercise lightly
Other injury of muscle(s) and tendon(s) of the rotator cuff of right shoulder,Take medicines on time,Avoid oily food,Maintain hygiene,Drink plenty of water
Encounter for fitting and adjustment of partial artificial arm,Get adequate rest,Maintain hygiene,Avoid oily food,Exercise lightly
Noise effects on inner ear,Maintain hygiene,Drink plenty of water,Monitor vitals regularly,Exercise lightly
Burn of second degree of unspecified elbow,Exercise lightly,Get adequate rest,Avoid oily food,Maintain hygiene
"Toxic effect of zinc and its compounds, accidental (unintentional)",Avoid oily food,Take medicines on time,Maintain hygiene,Get adequate rest
Abscess of external ear,Maintain hygiene,Take medicines on time,Get adequate rest,Avoid oily food
Unspecified dislocation of right radial head,Get adequate rest,Take medicines on time,Maintain hygiene,Monitor vitals regularly
"Toxic effect of unspecified inorganic substance, undetermined",Maintain hygiene,Take medicines on time,Monitor vitals regularly,Avoid oily food
Deformity of orbit due to trauma or surgery,Avoid oily food,Drink plenty of water,Get adequate rest,Monitor vitals regularly
Fracture of coronoid process of right mandible,Maintain hygiene,Avoid oily food,Get adequate rest,Exercise lightly
Malignant neoplasm of vagina,Maintain hygiene,Take medicines on time,Exercise lightly,Avoid oily food
"Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, accidental (unintentional)",Get adequate rest,Take medicines on time,Maintain hygiene,Drink plenty of water
Animal-rider injured in collision with animal-drawn vehicle,Get adequate rest,Maintain hygiene,Avoid oily food,Exercise lightly
Peritonitis,Avoid oily food,Monitor vitals regularly,Take medicines on time,Get adequate rest
Spotted fever [tick-borne rickettsioses],Monitor vitals regularly,Get adequate rest,Take medicines on time,Avoid oily food
Posterior corneal pigmentations,Avoid oily food,Drink plenty of water,Take medicines on time,Exercise lightly
"Disorders of muscle in diseases classified elsewhere, lower leg",Get adequate rest,Avoid oily food,Maintain hygiene,Drink plenty of water
Occlusion and stenosis of carotid artery,Take medicines on time,Exercise lightly,Get adequate rest,Drink plenty of water
External constriction of right eyelid and periocular area,Drink plenty of water,Monitor vitals regularly,Take medicines on time,Maintain hygiene
Dislocation of unspecified interphalangeal joint of left little finger,Exercise lightly,Maintain hygiene,Avoid oily food,Get adequate rest
"Cutaneous abscess, furuncle and carbuncle of buttock",Avoid oily food,Maintain hygiene,Exercise lightly,Take medicines on time
"Salter-Harris Type I physeal fracture of lower end of humerus, unspecified arm",Maintain hygiene,Monitor vitals regularly,Drink plenty of water,Take medicines on time
Doubling of vagina,Maintain hygiene,Take medicines on time,Avoid oily food,Exercise lightly
Dyskinesia of esophagus,Exercise lightly,Get adequate rest,Maintain hygiene,Monitor vitals regularly
"Unspecified lump in breast, subareolar",Take medicines on time,Maintain hygiene,Drink plenty of water,Get adequate rest
Displacement of surgically created arteriovenous shunt,Get adequate rest,Maintain hygiene,Drink plenty of water,Monitor vitals regularly
Insect bite (nonvenomous) of right little finger,Maintain hygiene,Take medicines on time,Monitor vitals regularly,Avoid oily food
Mouth breathing,Maintain hygiene,Exercise lightly,Take medicines on time,Monitor vitals regularly
Other incomplete lesion at T11-T12 level of thoracic spinal cord,Exercise lightly,Drink plenty of water,Take medicines on time,Get adequate rest
Sterilization status,Maintain hygiene,Exercise lightly,Monitor vitals regularly,Get adequate rest
Vesicoureteral-reflux with reflux nephropathy without hydroureter,Get adequate rest,Drink plenty of water,Take medicines on time,Monitor vitals regularly
"Dislocation of jaw, right side",Monitor vitals regularly,Maintain hygiene,Exercise lightly,Get adequate rest
Unspecified fracture of navicular [scaphoid] bone of unspecified wrist,Exercise lightly,Avoid oily food,Maintain hygiene,Take medicines on time
NIHSS score 30-39,Exercise lightly,Get adequate rest,Maintain hygiene,Monitor vitals regularly
"Postdysenteric arthropathy, hand",Drink plenty of water,Get adequate rest,Exercise lightly,Monitor vitals regularly
Trigger thumb,Get adequate rest,Avoid oily food,Exercise lightly,Take medicines on time
Underdosing of iron and its compounds,Monitor vitals regularly,Avoid oily food,Exercise lightly,Drink plenty of water
Abrasion of unspecified wrist,Monitor vitals regularly,Get adequate rest,Avoid oily food,Exercise lightly
Maternal care for (suspected) damage to fetus from viral disease in mother,Drink plenty of water,Maintain hygiene,Monitor vitals regularly,Take medicines on time
"Congenital malformation of urinary system, unspecified",Take medicines on time,Exercise lightly,Maintain hygiene,Drink plenty of water
Person on outside of bus injured in collision with pedestrian or animal in traffic accident,Take medicines on time,Get adequate rest,Avoid oily food,Exercise lightly
"Poisoning by otorhinolaryngological drugs and preparations, undetermined",Drink plenty of water,Maintain hygiene,Exercise lightly,Take medicines on time
Driver of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in traffic accident,Take medicines on time,Get adequate rest,Drink plenty of water,Exercise lightly
Public administrative building as the place of occurrence of the external cause,Get adequate rest,Drink plenty of water,Avoid oily food,Maintain hygiene
Assault by hot fluids,Drink plenty of water,Take medicines on time,Get adequate rest,Avoid oily food
"Other specified injury of muscle and tendon of long extensor muscle of toe at ankle and foot level, left foot",Exercise lightly,Maintain hygiene,Avoid oily food,Get adequate rest
Complications of stem cell transplant,Monitor vitals regularly,Maintain hygiene,Avoid oily food,Exercise lightly
"Chronic gout due to renal impairment, unspecified elbow",Get adequate rest,Drink plenty of water,Monitor vitals regularly,Avoid oily food
Nontraumatic intracerebral hemorrhage,Take medicines on time,Avoid oily food,Drink plenty of water,Exercise lightly
Person on outside of heavy transport vehicle injured in collision with pedal cycle in traffic accident,Monitor vitals regularly,Get adequate rest,Avoid oily food,Exercise lightly
Occupant (driver) (passenger) of pick-up truck or van injured in unspecified traffic accident,Avoid oily food,Get adequate rest,Monitor vitals regularly,Maintain hygiene
"Strain of extensor muscle, fascia and tendon of left thumb at wrist and hand level",Drink plenty of water,Take medicines on time,Get adequate rest,Avoid oily food
Type 2 diabetes mellitus with neurological complications,Take medicines on time,Monitor vitals regularly,Exercise lightly,Get adequate rest
Puncture wound with foreign body of left ring finger without damage to nail,Monitor vitals regularly,Get adequate rest,Maintain hygiene,Take medicines on time
Torsion of testis,Avoid oily food,Monitor vitals regularly,Take medicines on time,Drink plenty of water
Subluxation of L4/L5 lumbar vertebra,Drink plenty of water,Monitor vitals regularly,Avoid oily food,Exercise lightly
"Other specified injury of other blood vessels at lower leg level, left leg",Monitor vitals regularly,Take medicines on time,Avoid oily food,Drink plenty of water
Displaced oblique fracture of shaft of left fibula,Exercise lightly,Maintain hygiene,Drink plenty of water,Avoid oily food
Monoplegia of upper limb,Get adequate rest,Exercise lightly,Monitor vitals regularly,Maintain hygiene
Reduced mobility,Avoid oily food,Get adequate rest,Take medicines on time,Monitor vitals regularly
Acquired absence of ankle,Take medicines on time,Monitor vitals regularly,Get adequate rest,Avoid oily food
Paving stone degeneration of retina,Maintain hygiene,Avoid oily food,Get adequate rest,Monitor vitals regularly
Major laceration of right innominate or subclavian artery,Avoid oily food,Monitor vitals regularly,Take medicines on time,Get adequate rest
"Toxic effect of contact with unspecified venomous animal, assault",Maintain hygiene,Monitor vitals regularly,Drink plenty of water,Take medicines on time
"Laceration with foreign body, unspecified ankle",Take medicines on time,Get adequate rest,Avoid oily food,Drink plenty of water
"Congenital malformation of bony thorax, unspecified",Avoid oily food,Drink plenty of water,Monitor vitals regularly,Maintain hygiene
"Contact with and (suspected) exposure to other hazardous, chiefly nonmedicinal, chemicals",Maintain hygiene,Avoid oily food,Monitor vitals regularly,Get adequate rest
Occupant (driver) (passenger) of three-wheeled motor vehicle injured in unspecified traffic accident,Maintain hygiene,Drink plenty of water,Take medicines on time,Monitor vitals regularly
Minor laceration of right innominate or subclavian artery,Drink plenty of water,Take medicines on time,Maintain hygiene,Exercise lightly
Nondisplaced dome fracture of left talus,Drink plenty of water,Avoid oily food,Exercise lightly,Get adequate rest
"Legal intervention involving injury by explosive shell, bystander injured",Avoid oily food,Exercise lightly,Maintain hygiene,Monitor vitals regularly
Urethritis and urethral syndrome,Maintain hygiene,Exercise lightly,Get adequate rest,Take medicines on time
"Effusion, elbow",Maintain hygiene,Take medicines on time,Drink plenty of water,Avoid oily food
Infection and inflammatory reaction due to other internal joint prosthesis,Exercise lightly,Avoid oily food,Monitor vitals regularly,Take medicines on time
Complete placenta previa NOS or without hemorrhage,Exercise lightly,Avoid oily food,Drink plenty of water,Take medicines on time
Unspecified open wound of larynx,Monitor vitals regularly,Exercise lightly,Take medicines on time,Get adequate rest
"Toxic effect of nitroglycerin and other nitric acids and esters, assault",Drink plenty of water,Exercise lightly,Get adequate rest,Avoid oily food
"Person on outside of heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident",Maintain hygiene,Take medicines on time,Exercise lightly,Monitor vitals regularly
Corrosion of second degree of multiple sites of left wrist and hand,Exercise lightly,Maintain hygiene,Drink plenty of water,Avoid oily food
Unspecified retinoschisis,Monitor vitals regularly,Get adequate rest,Avoid oily food,Drink plenty of water
Other follicular cysts of the skin and subcutaneous tissue,Exercise lightly,Maintain hygiene,Take medicines on time,Drink plenty of water
Phlebitis and thrombophlebitis of unspecified deep vessels of lower extremities,Drink plenty of water,Monitor vitals regularly,Avoid oily food,Maintain hygiene
Other congenital malformations of spinal cord,Get adequate rest,Drink plenty of water,Maintain hygiene,Avoid oily food
"Poisoning by other psychodysleptics [hallucinogens], intentional self-harm",Drink plenty of water,Get adequate rest,Avoid oily food,Exercise lightly
"Other larger firearm discharge, undetermined intent",Exercise lightly,Drink plenty of water,Monitor vitals regularly,Take medicines on time
Underdosing of peripheral vasodilators,Monitor vitals regularly,Get adequate rest,Maintain hygiene,Take medicines on time
Sprain of other specified parts of right knee,Avoid oily food,Exercise lightly,Maintain hygiene,Monitor vitals regularly
Other osteomyelitis,Maintain hygiene,Take medicines on time,Get adequate rest,Drink plenty of water
Adverse effect of glucocorticoids and synthetic analogues,Monitor vitals regularly,Drink plenty of water,Maintain hygiene,Get adequate rest
"Conductive hearing loss, unilateral with unrestricted hearing on the contralateral side",Maintain hygiene,Monitor vitals regularly,Take medicines on time,Drink plenty of water
Siderosis of eye,Maintain hygiene,Drink plenty of water,Take medicines on time,Monitor vitals regularly
Other artificial openings of urinary tract status,Monitor vitals regularly,Exercise lightly,Get adequate rest,Drink plenty of water
Dislocation of radiocarpal joint of left wrist,Monitor vitals regularly,Take medicines on time,Avoid oily food,Get adequate rest
Unspecified fracture of shaft of unspecified fibula,Exercise lightly,Drink plenty of water,Take medicines on time,Maintain hygiene
Loose body in shoulder,Get adequate rest,Avoid oily food,Drink plenty of water,Take medicines on time
Other displaced fracture of upper end of right humerus,Maintain hygiene,Take medicines on time,Drink plenty of water,Exercise lightly
"Poisoning by unspecified narcotics, intentional self-harm",Get adequate rest,Maintain hygiene,Take medicines on time,Exercise lightly
Adverse effect of monoamine-oxidase-inhibitor antidepressants,Avoid oily food,Get adequate rest,Take medicines on time,Maintain hygiene
Ulnar collateral ligament sprain of unspecified elbow,Maintain hygiene,Avoid oily food,Get adequate rest,Take medicines on time
Bitten by other psittacines,Maintain hygiene,Avoid oily food,Monitor vitals regularly,Drink plenty of water
"Nontraumatic subarachnoid hemorrhage, unspecified",Take medicines on time,Maintain hygiene,Exercise lightly,Avoid oily food
"Nondisplaced fracture of third metatarsal bone, left foot",Drink plenty of water,Avoid oily food,Take medicines on time,Maintain hygiene
Other complications of foreign body accidentally left in body following infusion or transfusion,Maintain hygiene,Take medicines on time,Drink plenty of water,Get adequate rest
Other specified injury of left pulmonary blood vessels,Avoid oily food,Get adequate rest,Drink plenty of water,Take medicines on time
Tidal wave due to landslide,Drink plenty of water,Take medicines on time,Maintain hygiene,Exercise lightly
"Poisoning by other drug primarily affecting the autonomic nervous system, undetermined",Get adequate rest,Monitor vitals regularly,Drink plenty of water,Take medicines on time
Traumatic rupture of other ligament of left little finger at metacarpophalangeal and interphalangeal joint,Exercise lightly,Drink plenty of water,Take medicines on time,Get adequate rest
Nondisplaced segmental fracture of shaft of unspecified tibia,Get adequate rest,Take medicines on time,Monitor vitals regularly,Maintain hygiene
Subluxation of proximal interphalangeal joint of right index finger,Drink plenty of water,Avoid oily food,Monitor vitals regularly,Maintain hygiene
Other specified malignant neoplasm of skin of ear and external auricular canal,Get adequate rest,Avoid oily food,Take medicines on time,Monitor vitals regularly
Relapsing panniculitis [Weber-Christian],Avoid oily food,Take medicines on time,Drink plenty of water,Exercise lightly
"Retained placenta and membranes, without hemorrhage",Monitor vitals regularly,Take medicines on time,Avoid oily food,Exercise lightly
Displaced fracture of posterior column [ilioischial] of right acetabulum,Take medicines on time,Drink plenty of water,Get adequate rest,Monitor vitals regularly
Other specified injuries of left lower leg,Get adequate rest,Take medicines on time,Avoid oily food,Maintain hygiene
Failure of sterile precautions during surgical and medical care,Take medicines on time,Maintain hygiene,Drink plenty of water,Avoid oily food
Unspecified jaundice,Avoid oily food,Maintain hygiene,Exercise lightly,Take medicines on time
Displaced fracture of olecranon process without intraarticular extension of right ulna,Get adequate rest,Exercise lightly,Maintain hygiene,Monitor vitals regularly
Partial traumatic transphalangeal amputation of right middle finger,Take medicines on time,Maintain hygiene,Drink plenty of water,Avoid oily food
Corrosion of first degree of right forearm,Maintain hygiene,Get adequate rest,Drink plenty of water,Take medicines on time
Burn of unspecified degree of left lower leg,Get adequate rest,Take medicines on time,Avoid oily food,Drink plenty of water
"Puncture wound with foreign body, unspecified ankle",Avoid oily food,Get adequate rest,Maintain hygiene,Exercise lightly
Other injury of heart without hemopericardium,Exercise lightly,Maintain hygiene,Get adequate rest,Take medicines on time
Bipolar disorder,Get adequate rest,Monitor vitals regularly,Take medicines on time,Avoid oily food
Nonpurulent mastitis associated with the puerperium,Take medicines on time,Drink plenty of water,Maintain hygiene,Exercise lightly
"Unspecified injury of other muscle(s) and tendon(s) at lower leg level, left leg",Monitor vitals regularly,Exercise lightly,Get adequate rest,Avoid oily food
"Displacement of other internal orthopedic devices, implants and grafts",Exercise lightly,Monitor vitals regularly,Drink plenty of water,Take medicines on time
Accidental discharge of hunting rifle,Take medicines on time,Monitor vitals regularly,Get adequate rest,Maintain hygiene
Superior glenoid labrum lesion of unspecified shoulder,Exercise lightly,Drink plenty of water,Avoid oily food,Maintain hygiene
"Laceration of unspecified blood vessel at shoulder and upper arm level, unspecified arm",Take medicines on time,Get adequate rest,Drink plenty of water,Monitor vitals regularly
Complete traumatic transmetacarpal amputation of unspecified hand,Monitor vitals regularly,Exercise lightly,Avoid oily food,Drink plenty of water
"Toxic effect of other specified inorganic substances, intentional self-harm",Drink plenty of water,Get adequate rest,Maintain hygiene,Avoid oily food
Irritable bowel syndrome,Exercise lightly,Maintain hygiene,Drink plenty of water,Take medicines on time
Corrosion of first degree of unspecified ankle,Monitor vitals regularly,Take medicines on time,Exercise lightly,Avoid oily food
Adverse effect of peripheral vasodilators,Get adequate rest,Monitor vitals regularly,Take medicines on time,Avoid oily food
Spastic ectropion of eyelid,Exercise lightly,Get adequate rest,Avoid oily food,Take medicines on time
Heelies colliding with stationary object,Monitor vitals regularly,Exercise lightly,Avoid oily food,Get adequate rest
Unspecified retinal disorder,Monitor vitals regularly,Maintain hygiene,Drink plenty of water,Exercise lightly
"Toxic effect of venom of centipedes and venomous millipedes, accidental (unintentional)",Avoid oily food,Get adequate rest,Drink plenty of water,Maintain hygiene
Displaced comminuted supracondylar fracture without intercondylar fracture of right humerus,Monitor vitals regularly,Avoid oily food,Take medicines on time,Drink plenty of water
Burn of unspecified degree of right palm,Monitor vitals regularly,Get adequate rest,Exercise lightly,Drink plenty of water
Movie house or cinema as the place of occurrence of the external cause,Get adequate rest,Monitor vitals regularly,Take medicines on time,Avoid oily food
"Poisoning by histamine H2-receptor blockers, accidental (unintentional)",Get adequate rest,Monitor vitals regularly,Exercise lightly,Maintain hygiene
Other foreign object in pharynx causing asphyxiation,Monitor vitals regularly,Exercise lightly,Avoid oily food,Drink plenty of water
Tidal wave due to earthquake or volcanic eruption,Take medicines on time,Avoid oily food,Maintain hygiene,Exercise lightly
Nondisplaced fracture of middle third of navicular [scaphoid] bone of right wrist,Exercise lightly,Maintain hygiene,Take medicines on time,Drink plenty of water
"Acquired deformities of toe(s), unspecified",Monitor vitals regularly,Exercise lightly,Take medicines on time,Get adequate rest
Burn of first degree of unspecified ankle,Take medicines on time,Drink plenty of water,Maintain hygiene,Monitor vitals regularly
"Poisoning by antifungal antibiotics, systemically used, undetermined",Monitor vitals regularly,Maintain hygiene,Avoid oily food,Get adequate rest
Other diseases of liver,Monitor vitals regularly,Drink plenty of water,Exercise lightly,Avoid oily food
Chronic embolism and thrombosis of superficial veins of upper extremity,Drink plenty of water,Avoid oily food,Take medicines on time,Maintain hygiene
"Stenosis of other cardiac prosthetic devices, implants and grafts",Avoid oily food,Maintain hygiene,Get adequate rest,Exercise lightly
"Laceration of muscle, fascia and tendon of other parts of biceps, unspecified arm",Exercise lightly,Monitor vitals regularly,Get adequate rest,Take medicines on time
Contusion and laceration of left cerebrum with loss of consciousness of 6 hours to 24 hours,Take medicines on time,Avoid oily food,Monitor vitals regularly,Drink plenty of water
Torus fracture of lower end of right radius,Get adequate rest,Monitor vitals regularly,Maintain hygiene,Drink plenty of water
Frontotemporal dementia,Drink plenty of water,Exercise lightly,Take medicines on time,Avoid oily food
"Conjunctival xerosis, unspecified",Get adequate rest,Exercise lightly,Drink plenty of water,Take medicines on time
"Laceration without foreign body, unspecified lower leg",Maintain hygiene,Avoid oily food,Take medicines on time,Exercise lightly
Infection and inflammatory reaction due to internal fixation device of right humerus,Drink plenty of water,Avoid oily food,Get adequate rest,Take medicines on time
"Corrosion of third degree of left ear [any part, except ear drum]",Drink plenty of water,Take medicines on time,Maintain hygiene,Exercise lightly
