Disease,Description
Laceration without foreign body of left eyelid and periocular area,Laceration without foreign body of left eyelid and periocular area is a medical condition that requires attention. Symptoms may vary.
"Unspecified injury of muscle, fascia and tendon of triceps, left arm","Unspecified injury of muscle, fascia and tendon of triceps, left arm is a medical condition that requires attention. Symptoms may vary."
Displaced fracture of proximal phalanx of right great toe,Displaced fracture of proximal phalanx of right great toe is a medical condition that requires attention. Symptoms may vary.
"Pedal cycle passenger injured in collision with car, pick-up truck or van in nontraffic accident","Pedal cycle passenger injured in collision with car, pick-up truck or van in nontraffic accident is a medical condition that requires attention. Symptoms may vary."
Angina pectoris,Angina pectoris is a medical condition that requires attention. Symptoms may vary.
Hypotension,Hypotension is a medical condition that requires attention. Symptoms may vary.
"Puncture wound with foreign body, unspecified foot","Puncture wound with foreign body, unspecified foot is a medical condition that requires attention. Symptoms may vary."
Glasgow coma scale score 3-8,Glasgow coma scale score 3-8 is a medical condition that requires attention. Symptoms may vary.
Foreign body in right ear,Foreign body in right ear is a medical condition that requires attention. Symptoms may vary.
Rheumatic fever without heart involvement,Rheumatic fever without heart involvement is a medical condition that requires attention. Symptoms may vary.
Corrosion of second degree of lip(s),Corrosion of second degree of lip(s) is a medical condition that requires attention. Symptoms may vary.
Pre-existing essential hypertension complicating the puerperium,Pre-existing essential hypertension complicating the puerperium is a medical condition that requires attention. Symptoms may vary.
Abnormal results of function studies of central nervous system,Abnormal results of function studies of central nervous system is a medical condition that requires attention. Symptoms may vary.
Other sprain of right thumb,Other sprain of right thumb is a medical condition that requires attention. Symptoms may vary.
Amblyopia suspect,Amblyopia suspect is a medical condition that requires attention. Symptoms may vary.
"Toxic effect of carbon monoxide from motor vehicle exhaust, undetermined","Toxic effect of carbon monoxide from motor vehicle exhaust, undetermined is a medical condition that requires attention. Symptoms may vary."
Injury of unspecified uterine vein,Injury of unspecified uterine vein is a medical condition that requires attention. Symptoms may vary.
Bronchiectasis,Bronchiectasis is a medical condition that requires attention. Symptoms may vary.
Nondisplaced transverse fracture of right acetabulum,Nondisplaced transverse fracture of right acetabulum is a medical condition that requires attention. Symptoms may vary.
Symblepharon,Symblepharon is a medical condition that requires attention. Symptoms may vary.
Minimally displaced Zone II fracture of sacrum,Minimally displaced Zone II fracture of sacrum is a medical condition that requires attention. Symptoms may vary.
Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities,Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities is a medical condition that requires attention. Symptoms may vary.
Preterm labor third trimester with preterm delivery third trimester,Preterm labor third trimester with preterm delivery third trimester is a medical condition that requires attention. Symptoms may vary.
"Premature separation of placenta, unspecified","Premature separation of placenta, unspecified is a medical condition that requires attention. Symptoms may vary."
"Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue","Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue is a medical condition that requires attention. Symptoms may vary."
Unspecified fracture of lower end of right tibia,Unspecified fracture of lower end of right tibia is a medical condition that requires attention. Symptoms may vary.
Burn of third degree of unspecified axilla,Burn of third degree of unspecified axilla is a medical condition that requires attention. Symptoms may vary.
"Toxic effect of other insecticides, undetermined","Toxic effect of other insecticides, undetermined is a medical condition that requires attention. Symptoms may vary."
Torus fracture of lower end of right fibula,Torus fracture of lower end of right fibula is a medical condition that requires attention. Symptoms may vary.
Rheumatoid arthritis of knee with involvement of other organs and systems,Rheumatoid arthritis of knee with involvement of other organs and systems is a medical condition that requires attention. Symptoms may vary.
Unspecified degenerative and vascular disorders of ear,Unspecified degenerative and vascular disorders of ear is a medical condition that requires attention. Symptoms may vary.
Motorcycle driver injured in collision with other nonmotor vehicle in traffic accident,Motorcycle driver injured in collision with other nonmotor vehicle in traffic accident is a medical condition that requires attention. Symptoms may vary.
Underdosing of antithrombotic drugs,Underdosing of antithrombotic drugs is a medical condition that requires attention. Symptoms may vary.
Puncture wound without foreign body of unspecified finger without damage to nail,Puncture wound without foreign body of unspecified finger without damage to nail is a medical condition that requires attention. Symptoms may vary.
Salter-Harris Type I physeal fracture of upper end of left femur,Salter-Harris Type I physeal fracture of upper end of left femur is a medical condition that requires attention. Symptoms may vary.
Underdosing of selective serotonin and norepinephrine reuptake inhibitors,Underdosing of selective serotonin and norepinephrine reuptake inhibitors is a medical condition that requires attention. Symptoms may vary.
Unspecified open wound of right middle finger without damage to nail,Unspecified open wound of right middle finger without damage to nail is a medical condition that requires attention. Symptoms may vary.
Underdosing of anthelminthics,Underdosing of anthelminthics is a medical condition that requires attention. Symptoms may vary.
Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in traffic accident,Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in traffic accident is a medical condition that requires attention. Symptoms may vary.
Eyelid retraction,Eyelid retraction is a medical condition that requires attention. Symptoms may vary.
"Laceration without foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity","Laceration without foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity is a medical condition that requires attention. Symptoms may vary."
Diseases of the circulatory system complicating pregnancy,Diseases of the circulatory system complicating pregnancy is a medical condition that requires attention. Symptoms may vary.
Chronic gingivitis,Chronic gingivitis is a medical condition that requires attention. Symptoms may vary.
Other specified intracranial injury with loss of consciousness of 30 minutes or less,Other specified intracranial injury with loss of consciousness of 30 minutes or less is a medical condition that requires attention. Symptoms may vary.
"Type I occipital condyle fracture, right side","Type I occipital condyle fracture, right side is a medical condition that requires attention. Symptoms may vary."
Accidental discharge from unspecified firearms or gun,Accidental discharge from unspecified firearms or gun is a medical condition that requires attention. Symptoms may vary.
"Salter-Harris Type III physeal fracture of lower end of humerus, left arm","Salter-Harris Type III physeal fracture of lower end of humerus, left arm is a medical condition that requires attention. Symptoms may vary."
Acute sphenoidal sinusitis,Acute sphenoidal sinusitis is a medical condition that requires attention. Symptoms may vary.
Unspecified occupant of heavy transport vehicle injured in collision with railway train or railway vehicle in traffic accident,Unspecified occupant of heavy transport vehicle injured in collision with railway train or railway vehicle in traffic accident is a medical condition that requires attention. Symptoms may vary.
"Nondisplaced fracture of trapezium [larger multangular], left wrist","Nondisplaced fracture of trapezium [larger multangular], left wrist is a medical condition that requires attention. Symptoms may vary."
Ulnohumeral (joint) sprain of left elbow,Ulnohumeral (joint) sprain of left elbow is a medical condition that requires attention. Symptoms may vary.
"Osteonecrosis in diseases classified elsewhere, upper arm","Osteonecrosis in diseases classified elsewhere, upper arm is a medical condition that requires attention. Symptoms may vary."
"Laceration of flexor muscle, fascia and tendon of left ring finger at forearm level","Laceration of flexor muscle, fascia and tendon of left ring finger at forearm level is a medical condition that requires attention. Symptoms may vary."
"Other secondary osteonecrosis of radius, ulna and carpus","Other secondary osteonecrosis of radius, ulna and carpus is a medical condition that requires attention. Symptoms may vary."
"Toxic effect of copper and its compounds, undetermined","Toxic effect of copper and its compounds, undetermined is a medical condition that requires attention. Symptoms may vary."
"Poisoning by aminoglycosides, accidental (unintentional)","Poisoning by aminoglycosides, accidental (unintentional) is a medical condition that requires attention. Symptoms may vary."
Stenosis of peripheral vascular stent,Stenosis of peripheral vascular stent is a medical condition that requires attention. Symptoms may vary.
"Other specified disorders of synovium and tendon, hand","Other specified disorders of synovium and tendon, hand is a medical condition that requires attention. Symptoms may vary."
Breakdown (mechanical) of cranial or spinal infusion catheter,Breakdown (mechanical) of cranial or spinal infusion catheter is a medical condition that requires attention. Symptoms may vary.
Nontraumatic subarachnoid hemorrhage from other intracranial arteries,Nontraumatic subarachnoid hemorrhage from other intracranial arteries is a medical condition that requires attention. Symptoms may vary.
"Nondisplaced fracture of neck of first metacarpal bone, left hand","Nondisplaced fracture of neck of first metacarpal bone, left hand is a medical condition that requires attention. Symptoms may vary."
Sprain of radiocarpal joint of unspecified wrist,Sprain of radiocarpal joint of unspecified wrist is a medical condition that requires attention. Symptoms may vary.
Laceration without foreign body of unspecified wrist,Laceration without foreign body of unspecified wrist is a medical condition that requires attention. Symptoms may vary.
Acquired absence of leg below knee,Acquired absence of leg below knee is a medical condition that requires attention. Symptoms may vary.
Congenital malformations of great veins,Congenital malformations of great veins is a medical condition that requires attention. Symptoms may vary.
"Poisoning by appetite depressants, intentional self-harm","Poisoning by appetite depressants, intentional self-harm is a medical condition that requires attention. Symptoms may vary."
Unspecified superficial keratitis,Unspecified superficial keratitis is a medical condition that requires attention. Symptoms may vary.
"Injury of other nerves at lower leg level, right leg","Injury of other nerves at lower leg level, right leg is a medical condition that requires attention. Symptoms may vary."
Vitreomacular adhesion,Vitreomacular adhesion is a medical condition that requires attention. Symptoms may vary.
"Poisoning by butyrophenone and thiothixene neuroleptics, accidental (unintentional)","Poisoning by butyrophenone and thiothixene neuroleptics, accidental (unintentional) is a medical condition that requires attention. Symptoms may vary."
Other burn on board passenger vessel,Other burn on board passenger vessel is a medical condition that requires attention. Symptoms may vary.
"Pathological fracture in other disease, unspecified femur","Pathological fracture in other disease, unspecified femur is a medical condition that requires attention. Symptoms may vary."
Unspecified choroidal detachment,Unspecified choroidal detachment is a medical condition that requires attention. Symptoms may vary.
Other specified disorders of eyelid,Other specified disorders of eyelid is a medical condition that requires attention. Symptoms may vary.
Other displaced fracture of lower end of unspecified humerus,Other displaced fracture of lower end of unspecified humerus is a medical condition that requires attention. Symptoms may vary.
Ulcerative (chronic) rectosigmoiditis with complications,Ulcerative (chronic) rectosigmoiditis with complications is a medical condition that requires attention. Symptoms may vary.
"Toxic effect of other pesticides, assault","Toxic effect of other pesticides, assault is a medical condition that requires attention. Symptoms may vary."
Postprocedural hemorrhage of skin and subcutaneous tissue following a procedure,Postprocedural hemorrhage of skin and subcutaneous tissue following a procedure is a medical condition that requires attention. Symptoms may vary.
Traumatic compartment syndrome of right lower extremity,Traumatic compartment syndrome of right lower extremity is a medical condition that requires attention. Symptoms may vary.
"Embolism due to vascular prosthetic devices, implants and grafts","Embolism due to vascular prosthetic devices, implants and grafts is a medical condition that requires attention. Symptoms may vary."
Fracture of unspecified part of neck of unspecified femur,Fracture of unspecified part of neck of unspecified femur is a medical condition that requires attention. Symptoms may vary.
"Chronic gout due to renal impairment, left hand","Chronic gout due to renal impairment, left hand is a medical condition that requires attention. Symptoms may vary."
"Puncture wound with foreign body of unspecified external genital organs, male","Puncture wound with foreign body of unspecified external genital organs, male is a medical condition that requires attention. Symptoms may vary."
Other internal derangements of knee,Other internal derangements of knee is a medical condition that requires attention. Symptoms may vary.
Struck by baseball bat,Struck by baseball bat is a medical condition that requires attention. Symptoms may vary.
Laceration with foreign body of lip,Laceration with foreign body of lip is a medical condition that requires attention. Symptoms may vary.
Underdosing of pyrazolone derivatives,Underdosing of pyrazolone derivatives is a medical condition that requires attention. Symptoms may vary.
"Laceration of intrinsic muscle, fascia and tendon of left index finger at wrist and hand level","Laceration of intrinsic muscle, fascia and tendon of left index finger at wrist and hand level is a medical condition that requires attention. Symptoms may vary."
Burn of unspecified degree of right forearm,Burn of unspecified degree of right forearm is a medical condition that requires attention. Symptoms may vary.
Torus fracture of lower end of right tibia,Torus fracture of lower end of right tibia is a medical condition that requires attention. Symptoms may vary.
Unspecified injury of inferior mesenteric artery,Unspecified injury of inferior mesenteric artery is a medical condition that requires attention. Symptoms may vary.
"Major depressive disorder, single episode","Major depressive disorder, single episode is a medical condition that requires attention. Symptoms may vary."
"Other multiple births, all liveborn","Other multiple births, all liveborn is a medical condition that requires attention. Symptoms may vary."
Blister (nonthermal) of right index finger,Blister (nonthermal) of right index finger is a medical condition that requires attention. Symptoms may vary.
Displacement of internal fixation device of bones of hand and fingers,Displacement of internal fixation device of bones of hand and fingers is a medical condition that requires attention. Symptoms may vary.
Other mechanical complication of urinary electronic stimulator device,Other mechanical complication of urinary electronic stimulator device is a medical condition that requires attention. Symptoms may vary.
"Gout due to renal impairment, hand","Gout due to renal impairment, hand is a medical condition that requires attention. Symptoms may vary."
Injury to rider of non-recreational watercraft being pulled behind other watercraft,Injury to rider of non-recreational watercraft being pulled behind other watercraft is a medical condition that requires attention. Symptoms may vary.
Abnormal innervation syndrome,Abnormal innervation syndrome is a medical condition that requires attention. Symptoms may vary.
Subluxation of distal end of left ulna,Subluxation of distal end of left ulna is a medical condition that requires attention. Symptoms may vary.
Salter-Harris Type III physeal fracture of left calcaneus,Salter-Harris Type III physeal fracture of left calcaneus is a medical condition that requires attention. Symptoms may vary.
Laceration of duodenum,Laceration of duodenum is a medical condition that requires attention. Symptoms may vary.
Passenger on bus injured in collision with two- or three-wheeled motor vehicle in traffic accident,Passenger on bus injured in collision with two- or three-wheeled motor vehicle in traffic accident is a medical condition that requires attention. Symptoms may vary.
"Aortic aneurysm of unspecified site, ruptured","Aortic aneurysm of unspecified site, ruptured is a medical condition that requires attention. Symptoms may vary."
Underdosing of unspecified psychodysleptics,Underdosing of unspecified psychodysleptics is a medical condition that requires attention. Symptoms may vary.
Sprain of joints and ligaments of other parts of neck,Sprain of joints and ligaments of other parts of neck is a medical condition that requires attention. Symptoms may vary.
Other displaced fracture of sixth cervical vertebra,Other displaced fracture of sixth cervical vertebra is a medical condition that requires attention. Symptoms may vary.
"Persistent migraine aura with cerebral infarction, not intractable","Persistent migraine aura with cerebral infarction, not intractable is a medical condition that requires attention. Symptoms may vary."
Respiratory conditions due to other external agents,Respiratory conditions due to other external agents is a medical condition that requires attention. Symptoms may vary.
Atherosclerotic heart disease of native coronary artery with angina pectoris,Atherosclerotic heart disease of native coronary artery with angina pectoris is a medical condition that requires attention. Symptoms may vary.
"Poisoning by other narcotics, assault","Poisoning by other narcotics, assault is a medical condition that requires attention. Symptoms may vary."
Atresia of vas deferens,Atresia of vas deferens is a medical condition that requires attention. Symptoms may vary.
"Poisoning by unspecified drugs acting on muscles, undetermined","Poisoning by unspecified drugs acting on muscles, undetermined is a medical condition that requires attention. Symptoms may vary."
"Other specified bursopathies, other site","Other specified bursopathies, other site is a medical condition that requires attention. Symptoms may vary."
"Toxic effect of tin and its compounds, accidental (unintentional)","Toxic effect of tin and its compounds, accidental (unintentional) is a medical condition that requires attention. Symptoms may vary."
"Strain of flexor muscle, fascia and tendon of unspecified thumb at forearm level","Strain of flexor muscle, fascia and tendon of unspecified thumb at forearm level is a medical condition that requires attention. Symptoms may vary."
"Other specified injury of peroneal artery, left leg","Other specified injury of peroneal artery, left leg is a medical condition that requires attention. Symptoms may vary."
Atherosclerosis of nonautologous biological bypass graft(s) of other extremity with ulceration,Atherosclerosis of nonautologous biological bypass graft(s) of other extremity with ulceration is a medical condition that requires attention. Symptoms may vary.
"Unspecified physeal fracture of upper end of radius, left arm","Unspecified physeal fracture of upper end of radius, left arm is a medical condition that requires attention. Symptoms may vary."
Minor laceration of tail of pancreas,Minor laceration of tail of pancreas is a medical condition that requires attention. Symptoms may vary.
Other sprain of left elbow,Other sprain of left elbow is a medical condition that requires attention. Symptoms may vary.
Superficial foreign body of right ring finger,Superficial foreign body of right ring finger is a medical condition that requires attention. Symptoms may vary.
Burn of first degree of unspecified lower leg,Burn of first degree of unspecified lower leg is a medical condition that requires attention. Symptoms may vary.
Unspecified open wound of anus,Unspecified open wound of anus is a medical condition that requires attention. Symptoms may vary.
"Other viral encephalitis, not elsewhere classified","Other viral encephalitis, not elsewhere classified is a medical condition that requires attention. Symptoms may vary."
"Gastroduodenitis, unspecified","Gastroduodenitis, unspecified is a medical condition that requires attention. Symptoms may vary."
"Displaced fracture of first metatarsal bone, unspecified foot","Displaced fracture of first metatarsal bone, unspecified foot is a medical condition that requires attention. Symptoms may vary."
Drowning and submersion due to unspecified watercraft sinking,Drowning and submersion due to unspecified watercraft sinking is a medical condition that requires attention. Symptoms may vary.
Unspecified open wound of right lesser toe(s) without damage to nail,Unspecified open wound of right lesser toe(s) without damage to nail is a medical condition that requires attention. Symptoms may vary.
Unspecified motorcycle rider injured in collision with fixed or stationary object in nontraffic accident,Unspecified motorcycle rider injured in collision with fixed or stationary object in nontraffic accident is a medical condition that requires attention. Symptoms may vary.
"Poisoning by amphetamines, intentional self-harm","Poisoning by amphetamines, intentional self-harm is a medical condition that requires attention. Symptoms may vary."
Passenger on bus injured in collision with other nonmotor vehicle in nontraffic accident,Passenger on bus injured in collision with other nonmotor vehicle in nontraffic accident is a medical condition that requires attention. Symptoms may vary.
"Other benign neoplasm of skin, unspecified","Other benign neoplasm of skin, unspecified is a medical condition that requires attention. Symptoms may vary."
Hydroxyapatite deposition disease,Hydroxyapatite deposition disease is a medical condition that requires attention. Symptoms may vary.
Other injury due to other accident on board fishing boat,Other injury due to other accident on board fishing boat is a medical condition that requires attention. Symptoms may vary.
"Other specified bursopathies, knee","Other specified bursopathies, knee is a medical condition that requires attention. Symptoms may vary."
Crushing injury of right little finger,Crushing injury of right little finger is a medical condition that requires attention. Symptoms may vary.
Breakdown (mechanical) of surgically created arteriovenous fistula,Breakdown (mechanical) of surgically created arteriovenous fistula is a medical condition that requires attention. Symptoms may vary.
Complications of heart transplant,Complications of heart transplant is a medical condition that requires attention. Symptoms may vary.
Displacement of urinary electronic stimulator device,Displacement of urinary electronic stimulator device is a medical condition that requires attention. Symptoms may vary.
Anthrax,Anthrax is a medical condition that requires attention. Symptoms may vary.
Other fracture of right talus,Other fracture of right talus is a medical condition that requires attention. Symptoms may vary.
"Puncture wound without foreign body, unspecified thigh","Puncture wound without foreign body, unspecified thigh is a medical condition that requires attention. Symptoms may vary."
"Villonodular synovitis (pigmented), wrist","Villonodular synovitis (pigmented), wrist is a medical condition that requires attention. Symptoms may vary."
Breakdown (mechanical) of esophageal anti-reflux device,Breakdown (mechanical) of esophageal anti-reflux device is a medical condition that requires attention. Symptoms may vary.
"Unspecified open wound, right thigh","Unspecified open wound, right thigh is a medical condition that requires attention. Symptoms may vary."
"Toxic effect of carbon monoxide from motor vehicle exhaust, intentional self-harm","Toxic effect of carbon monoxide from motor vehicle exhaust, intentional self-harm is a medical condition that requires attention. Symptoms may vary."
"Basal cell carcinoma of skin of lower limb, including hip","Basal cell carcinoma of skin of lower limb, including hip is a medical condition that requires attention. Symptoms may vary."
"Poisoning by loop [high-ceiling] diuretics, undetermined","Poisoning by loop [high-ceiling] diuretics, undetermined is a medical condition that requires attention. Symptoms may vary."
Follicular cyst of ovary,Follicular cyst of ovary is a medical condition that requires attention. Symptoms may vary.
Dysarthria and anarthria,Dysarthria and anarthria is a medical condition that requires attention. Symptoms may vary.
"Osteophyte, shoulder","Osteophyte, shoulder is a medical condition that requires attention. Symptoms may vary."
Hemorrhage of orbit,Hemorrhage of orbit is a medical condition that requires attention. Symptoms may vary.
"Pathological fracture, left humerus","Pathological fracture, left humerus is a medical condition that requires attention. Symptoms may vary."
"Rheumatoid bursitis, hand","Rheumatoid bursitis, hand is a medical condition that requires attention. Symptoms may vary."
Crohn's disease of both small and large intestine,Crohn's disease of both small and large intestine is a medical condition that requires attention. Symptoms may vary.
Nondisplaced fracture of middle phalanx of right index finger,Nondisplaced fracture of middle phalanx of right index finger is a medical condition that requires attention. Symptoms may vary.
Abrasion of unspecified thumb,Abrasion of unspecified thumb is a medical condition that requires attention. Symptoms may vary.
"Contracture of muscle, thigh","Contracture of muscle, thigh is a medical condition that requires attention. Symptoms may vary."
Vertigo of central origin,Vertigo of central origin is a medical condition that requires attention. Symptoms may vary.
"Fibrous dysplasia (monostotic), shoulder","Fibrous dysplasia (monostotic), shoulder is a medical condition that requires attention. Symptoms may vary."
"Complex tear of lateral meniscus, current injury, right knee","Complex tear of lateral meniscus, current injury, right knee is a medical condition that requires attention. Symptoms may vary."
"Poisoning by unspecified drugs, medicaments and biological substances, undetermined","Poisoning by unspecified drugs, medicaments and biological substances, undetermined is a medical condition that requires attention. Symptoms may vary."
Complete traumatic transphalangeal amputation of right little finger,Complete traumatic transphalangeal amputation of right little finger is a medical condition that requires attention. Symptoms may vary.
Displaced fracture of distal phalanx of left great toe,Displaced fracture of distal phalanx of left great toe is a medical condition that requires attention. Symptoms may vary.
Sarcoidosis,Sarcoidosis is a medical condition that requires attention. Symptoms may vary.
Fall (on) (from) other stairs and steps,Fall (on) (from) other stairs and steps is a medical condition that requires attention. Symptoms may vary.
"Poisoning by methylphenidate, undetermined","Poisoning by methylphenidate, undetermined is a medical condition that requires attention. Symptoms may vary."
Rheumatic chorea,Rheumatic chorea is a medical condition that requires attention. Symptoms may vary.
"Puncture wound without foreign body, right hip","Puncture wound without foreign body, right hip is a medical condition that requires attention. Symptoms may vary."
Driver of dune buggy injured in traffic accident,Driver of dune buggy injured in traffic accident is a medical condition that requires attention. Symptoms may vary.
Superficial frostbite of right ear,Superficial frostbite of right ear is a medical condition that requires attention. Symptoms may vary.
Puncture wound with foreign body of unspecified front wall of thorax with penetration into thoracic cavity,Puncture wound with foreign body of unspecified front wall of thorax with penetration into thoracic cavity is a medical condition that requires attention. Symptoms may vary.
"Psoriasis, unspecified","Psoriasis, unspecified is a medical condition that requires attention. Symptoms may vary."
"Maternal care for other rhesus isoimmunization, second trimester","Maternal care for other rhesus isoimmunization, second trimester is a medical condition that requires attention. Symptoms may vary."
Puncture wound without foreign body of right index finger with damage to nail,Puncture wound without foreign body of right index finger with damage to nail is a medical condition that requires attention. Symptoms may vary.
Contusion of left ear,Contusion of left ear is a medical condition that requires attention. Symptoms may vary.
Encounter for supervision of normal first pregnancy,Encounter for supervision of normal first pregnancy is a medical condition that requires attention. Symptoms may vary.
"Chronic gout due to renal impairment, left shoulder","Chronic gout due to renal impairment, left shoulder is a medical condition that requires attention. Symptoms may vary."
Dislocation of other carpometacarpal joint of left hand,Dislocation of other carpometacarpal joint of left hand is a medical condition that requires attention. Symptoms may vary.
Type 2 diabetes mellitus with diabetic arthropathy,Type 2 diabetes mellitus with diabetic arthropathy is a medical condition that requires attention. Symptoms may vary.
"Toxic effect of other mycotoxin food contaminants, undetermined","Toxic effect of other mycotoxin food contaminants, undetermined is a medical condition that requires attention. Symptoms may vary."
Corrosions involving 40-49% of body surface,Corrosions involving 40-49% of body surface is a medical condition that requires attention. Symptoms may vary.
Accidental drowning and submersion while in swimming-pool,Accidental drowning and submersion while in swimming-pool is a medical condition that requires attention. Symptoms may vary.
Rheumatoid heart disease with rheumatoid arthritis of knee,Rheumatoid heart disease with rheumatoid arthritis of knee is a medical condition that requires attention. Symptoms may vary.
"Dislocation of right acromioclavicular joint, greater than 200% displacement","Dislocation of right acromioclavicular joint, greater than 200% displacement is a medical condition that requires attention. Symptoms may vary."
Partial traumatic amputation of left foot at ankle level,Partial traumatic amputation of left foot at ankle level is a medical condition that requires attention. Symptoms may vary.
"Fistula, other specified site","Fistula, other specified site is a medical condition that requires attention. Symptoms may vary."
"Corrosion of first degree of multiple left fingers (nail), not including thumb","Corrosion of first degree of multiple left fingers (nail), not including thumb is a medical condition that requires attention. Symptoms may vary."
"Laceration of other specified muscles, fascia and tendons at wrist and hand level, unspecified hand","Laceration of other specified muscles, fascia and tendons at wrist and hand level, unspecified hand is a medical condition that requires attention. Symptoms may vary."
"Toxic effect of herbicides and fungicides, assault","Toxic effect of herbicides and fungicides, assault is a medical condition that requires attention. Symptoms may vary."
"Benign neoplasm of respiratory system, unspecified","Benign neoplasm of respiratory system, unspecified is a medical condition that requires attention. Symptoms may vary."
Other disorders of orbit,Other disorders of orbit is a medical condition that requires attention. Symptoms may vary.
Impacted cerumen,Impacted cerumen is a medical condition that requires attention. Symptoms may vary.
Snow-skier colliding with stationary object,Snow-skier colliding with stationary object is a medical condition that requires attention. Symptoms may vary.
Striking against other stationary object,Striking against other stationary object is a medical condition that requires attention. Symptoms may vary.
Salter-Harris Type IV physeal fracture of right metatarsal,Salter-Harris Type IV physeal fracture of right metatarsal is a medical condition that requires attention. Symptoms may vary.
Pulmonary toxoplasmosis,Pulmonary toxoplasmosis is a medical condition that requires attention. Symptoms may vary.
Irritative hyperplasia of oral mucosa,Irritative hyperplasia of oral mucosa is a medical condition that requires attention. Symptoms may vary.
Crushed between other unpowered watercraft and other watercraft or other object due to collision,Crushed between other unpowered watercraft and other watercraft or other object due to collision is a medical condition that requires attention. Symptoms may vary.
"Other injury of unspecified muscle, fascia and tendon at shoulder and upper arm level, left arm","Other injury of unspecified muscle, fascia and tendon at shoulder and upper arm level, left arm is a medical condition that requires attention. Symptoms may vary."
Other specified intracranial injury with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving,Other specified intracranial injury with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving is a medical condition that requires attention. Symptoms may vary.
Unspecified sprain of right hip,Unspecified sprain of right hip is a medical condition that requires attention. Symptoms may vary.
"Poisoning by heroin, accidental (unintentional)","Poisoning by heroin, accidental (unintentional) is a medical condition that requires attention. Symptoms may vary."
Unspecified foreign body in bronchus causing other injury,Unspecified foreign body in bronchus causing other injury is a medical condition that requires attention. Symptoms may vary.
"Other meniscus derangements, anterior horn of medial meniscus","Other meniscus derangements, anterior horn of medial meniscus is a medical condition that requires attention. Symptoms may vary."
Displaced comminuted fracture of shaft of unspecified fibula,Displaced comminuted fracture of shaft of unspecified fibula is a medical condition that requires attention. Symptoms may vary.
Staphylococcal polyarthritis,Staphylococcal polyarthritis is a medical condition that requires attention. Symptoms may vary.
Displaced fracture of distal phalanx of left little finger,Displaced fracture of distal phalanx of left little finger is a medical condition that requires attention. Symptoms may vary.
"Unspecified injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, right leg","Unspecified injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, right leg is a medical condition that requires attention. Symptoms may vary."
Puncture wound with foreign body of right wrist,Puncture wound with foreign body of right wrist is a medical condition that requires attention. Symptoms may vary.
"Glaucoma secondary to drugs, right eye","Glaucoma secondary to drugs, right eye is a medical condition that requires attention. Symptoms may vary."
Unspecified fracture of right calcaneus,Unspecified fracture of right calcaneus is a medical condition that requires attention. Symptoms may vary.
Other superficial bite of penis,Other superficial bite of penis is a medical condition that requires attention. Symptoms may vary.
"Underdosing of dental drugs, topically applied","Underdosing of dental drugs, topically applied is a medical condition that requires attention. Symptoms may vary."
"Disorder of ligament, shoulder","Disorder of ligament, shoulder is a medical condition that requires attention. Symptoms may vary."
Abnormal histological findings in specimens from female genital organs,Abnormal histological findings in specimens from female genital organs is a medical condition that requires attention. Symptoms may vary.
"Corrosion of first degree of multiple sites of unspecified shoulder and upper limb, except wrist and hand","Corrosion of first degree of multiple sites of unspecified shoulder and upper limb, except wrist and hand is a medical condition that requires attention. Symptoms may vary."
Intentional collision of motor vehicle with tree,Intentional collision of motor vehicle with tree is a medical condition that requires attention. Symptoms may vary.
"Laceration of other blood vessels of thorax, left side","Laceration of other blood vessels of thorax, left side is a medical condition that requires attention. Symptoms may vary."
"Other specified injury of ulnar artery at forearm level, unspecified arm","Other specified injury of ulnar artery at forearm level, unspecified arm is a medical condition that requires attention. Symptoms may vary."
"Major laceration of greater saphenous vein at hip and thigh level, right leg","Major laceration of greater saphenous vein at hip and thigh level, right leg is a medical condition that requires attention. Symptoms may vary."
Displaced segmental fracture of shaft of unspecified fibula,Displaced segmental fracture of shaft of unspecified fibula is a medical condition that requires attention. Symptoms may vary.
Procedure and treatment not carried out for other reasons,Procedure and treatment not carried out for other reasons is a medical condition that requires attention. Symptoms may vary.
Nondisplaced avulsion fracture of right ilium,Nondisplaced avulsion fracture of right ilium is a medical condition that requires attention. Symptoms may vary.
Personal history of in-situ neoplasm,Personal history of in-situ neoplasm is a medical condition that requires attention. Symptoms may vary.
Complete traumatic metacarpophalangeal amputation of unspecified thumb,Complete traumatic metacarpophalangeal amputation of unspecified thumb is a medical condition that requires attention. Symptoms may vary.
"Coagulation defect, unspecified","Coagulation defect, unspecified is a medical condition that requires attention. Symptoms may vary."
"Contusion of ovary, unspecified","Contusion of ovary, unspecified is a medical condition that requires attention. Symptoms may vary."
